"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 11 18:40:02 UTC 2026","Fri Sep 11 18:40:09 UTC 2026","7747","","tests.LoginTest","","tests.LoginTest","loginWithProvider","Bejelentkezések ellenőrzése UserDataProvider segítségével. [3] performance_glitch_user, secret_sauce, https://www.saucedemo.com/inventory.html, true",""
"passed","Fri Sep 11 18:39:47 UTC 2026","Fri Sep 11 18:39:50 UTC 2026","2696","","tests.InventoryTest","","tests.InventoryTest","addToCartBtnIsDisplayed","Megjelenik-e az adott termékhez tartozó hozzáadás gomb.",""
"passed","Fri Sep 11 18:40:39 UTC 2026","Fri Sep 11 18:40:40 UTC 2026","975","","tests.LoginTest","","tests.LoginTest","checkErrorMessageLockedOutUserLogin","Zárolt felhasználó belépési kísérlet esetén megjelenik-e a hibaüzenet.",""
"passed","Fri Sep 11 18:39:33 UTC 2026","Fri Sep 11 18:39:36 UTC 2026","2784","","tests.InventoryTest","","tests.InventoryTest","shouldSortItemsAlphabetically","Leellenőrizzük, hogy az ABC sorrend jó-e.",""
"passed","Fri Sep 11 18:38:59 UTC 2026","Fri Sep 11 18:39:02 UTC 2026","2876","","tests.InventoryTest","","tests.InventoryTest","checkRemoveBtn","Leellenőrizzük, hogy az összes terméknél megjelenik-e a Remove gomb. [4] Sauce Labs Fleece Jacket",""
"passed","Fri Sep 11 18:39:16 UTC 2026","Fri Sep 11 18:39:19 UTC 2026","2715","","tests.InventoryTest","","tests.InventoryTest","checkThePriceOfItems","Leellenőrizzük az összes termék árát. [4] Sauce Labs Fleece Jacket, 49.99",""
"passed","Fri Sep 11 18:40:30 UTC 2026","Fri Sep 11 18:40:32 UTC 2026","2674","","tests.LoginTest","","tests.LoginTest","succesfulLoginWithAllUsernamesAndPws","Összes felhasználónév ellenőrzése. [4] error_user",""
"passed","Fri Sep 11 18:38:43 UTC 2026","Fri Sep 11 18:38:44 UTC 2026","1243","","tests.CartTest","","tests.CartTest","checkContinueShoppingBtn","Leellenőrizzük, hogy a Continue Shopping gomb kiválasztása után vissza kerülünk-e az Inventory oldalra.",""
"passed","Fri Sep 11 18:39:24 UTC 2026","Fri Sep 11 18:39:27 UTC 2026","2979","","tests.InventoryTest","","tests.InventoryTest","shouldOpenTwitterInNewTab","Twitter link ellenőrzése.",""
"passed","Fri Sep 11 18:40:22 UTC 2026","Fri Sep 11 18:40:30 UTC 2026","7636","","tests.LoginTest","","tests.LoginTest","succesfulLoginWithAllUsernamesAndPws","Összes felhasználónév ellenőrzése. [3] performance_glitch_user",""
"passed","Fri Sep 11 18:40:09 UTC 2026","Fri Sep 11 18:40:12 UTC 2026","2730","","tests.LoginTest","","tests.LoginTest","loginWithProvider","Bejelentkezések ellenőrzése UserDataProvider segítségével. [4] error_user, secret_sauce, https://www.saucedemo.com/inventory.html, true",""
"passed","Fri Sep 11 18:40:41 UTC 2026","Fri Sep 11 18:40:41 UTC 2026","848","","tests.LoginTest","","tests.LoginTest","emptyInputFieldsAndTryToLogin","Üresen hagyott input mezőkkel történi bejelentkezés.",""
"passed","Fri Sep 11 18:40:35 UTC 2026","Fri Sep 11 18:40:36 UTC 2026","958","","tests.LoginTest","","tests.LoginTest","tryToLoginWithOnlyUsername","Csak felhasználónévvel történő belépési kísérlet.",""
"passed","Fri Sep 11 18:40:17 UTC 2026","Fri Sep 11 18:40:19 UTC 2026","2656","","tests.LoginTest","","tests.LoginTest","succesfulLoginWithAllUsernamesAndPws","Összes felhasználónév ellenőrzése. [1] standard_user",""
"passed","Fri Sep 11 18:39:08 UTC 2026","Fri Sep 11 18:39:11 UTC 2026","2754","","tests.InventoryTest","","tests.InventoryTest","checkThePriceOfItems","Leellenőrizzük az összes termék árát. [1] Sauce Labs Backpack, 29.99",""
"passed","Fri Sep 11 18:39:39 UTC 2026","Fri Sep 11 18:39:42 UTC 2026","2850","","tests.InventoryTest","","tests.InventoryTest","cheapestItem","Legolcsóbb elem megkeresése.",""
"passed","Fri Sep 11 18:40:43 UTC 2026","Fri Sep 11 18:40:45 UTC 2026","2063","","tests.CheckoutSummaryAssertionTest","","tests.CheckoutSummaryAssertionTest","testCheckoutSummaryDetails","Checkout összegző oldal adatainak ellenőrzése assertAll segítségével",""
