GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
saucedemo,pages,InventoryPage,10,249,1,5,2,62,1,17,0,15
saucedemo,pages,CheckoutCompletePage,10,12,0,0,2,4,1,1,1,1
saucedemo,pages,CheckoutStepOnePage,10,77,0,0,2,21,1,6,1,6
saucedemo,pages,CartPage,0,49,0,0,0,15,0,5,0,5
saucedemo,pages,CheckoutStepTwoPage,22,42,0,0,5,11,2,3,2,3
saucedemo,pages,LoginPage,0,63,0,0,0,18,0,5,0,5
saucedemo,driver,DriverFactory,3,46,1,1,1,9,2,1,1,1
saucedemo,utils,TestDataUtil,0,9,0,0,0,4,0,4,0,4
saucedemo,utils,RandomUtil,58,0,4,0,12,0,6,0,4,0
saucedemo,utils,ScreenshotUtil,28,0,0,0,8,0,2,0,2,0
saucedemo,config,ConfigReader,17,23,3,3,5,10,4,2,1,2
saucedemo,base,BasePage,144,83,4,0,36,19,17,12,15,12
